sampleId,lat,long,continent,country,nPools,nFlies,nToUse,Date,SRA_Accession,SOURCE,DataType,TimeRange
"CA_Ont_Sud_1_2015-08-03, CA_Ont_Sud_1_2015-09-30",46.53,-80.96,North_America,Canada,2,218,2,"2015-08-03,2015-09-30","SRR3939091, SRR3939092",DrosRTEC,PoolSeq,58
"CH_Vau_Cha_1_2016-08-15, CH_Vau_Cha_1_2014-07-24, CH_Vau_Cha_1_2014-10-05, CH_Vau_Cha_1_2015-08-01",46.5670416,6.701867,Europe,Switzerland,4,160,4,"2016-08-15,2014-07-24,2014-10-05,2015-08-01","SRR8494459, SRR5647754, SRR5647758, SRR8439166",DrosEU,PoolSeq,753
"CH_Vau_Vul_1_2018-09-18, CH_Vau_Vul_1_2019-07-17, CH_Vau_Vul_1_2019-09-24, CH_Vau_Vul_1_2020-07-29, CH_Vau_Vul_1_2020-09-15",46.93947,7.053320000000001,Europe,Switzerland,5,200,5,"2018-09-18,2019-07-17,2019-09-24,2020-07-29,2020-09-15","nan, nan, nan, nan, nan",DrosEU_3,PoolSeq,728
"CN_Bei_Bei_1_1992-09-16, mel164, mel165, mel166, mel167, mel168, B04, B05, B10, B11, B14, B23, B12, B28, B38, B42, B43, B51, B52, B54, B59, mel140, mel142, mel143",39.92124999999999,116.39333333333332,Asia,China,24,38,24,"1992-09-16,2017-07-30,1992-09,2017-08-02","nan, SRR23103814, SRR23103813, SRR23103812, SRR23103811, SRR23103810, SRR1662283, SRR1663528, SRR1663529, SRR1663530, SRR1663532, SRR1663533, SRR1663531, SRR1663534, SRR1663535, SRR1663536, SRR1663537, SRR1663538, SRR1663539, SRR1663540, SRR1663541, SRR23103970, SRR23103969, SRR23103968","dgn, Chen et al. (2024), Grenier et al. (9)","PoolSeq, IndSeq",9086
"DE_Bad_Bro_1_2020-10-24, DE_Bad_Bro_1_2021-07-21, DE_Bad_Bro_1_2021-10-20, DE_Bad_Bro_1_2014-06-26, DE_Bad_Bro_1_2014-10-15, DE_Bad_Bro_1_2015-06-30, DE_Bad_Bro_1_2015-10-25, DE_Bad_Bro_1_2016-07-24, DE_Bad_Bro_1_2016-10-23, DE_Bad_Bro_1_2017-06-27, DE_Bad_Bro_1_2018-06-26, DE_Bad_Bro_1_2019-07-03, DE_Bad_Bro_1_2020-07-16",48.21795246153847,7.819416153846153,Europe,Germany,13,519,13,"2020-10-24,2021-07-21,2021-10-20,2014-06-26,2014-10-15,2015-06-30,2015-10-25,2016-07-24,2016-10-23,2017-06-27,2018-06-26,2019-07-03,2020-07-16","nan, nan, nan, SRR5647762, SRR5647761, SRR8439148, SRR8439144, SRR8494434, SRR8494452, nan, nan, nan, nan","DrosEU_3, DrosEU",PoolSeq,2673
"DE_Bad_Wal_1_2019-10-02, DE_Bad_Wal_1_2020-10-02",47.622135,8.217058,Europe,Germany,2,60,2,"2019-10-02,2020-10-02","nan, nan",DrosEU_3,PoolSeq,366
"DE_Bay_Mun_1_2014-06-19, DE_Bay_Mun_1_2014-09-03, DE_Bay_Mun_1_2015-06-01, DE_Bay_Mun_1_2015-09-01, DE_Bay_Mun_1_2016-06-25, DE_Bay_Mun_1_2016-09-01, DE_Bay_Mun_1_2017-06-20, DE_Bay_Mun_1_2017-09-03, DE_Bay_Mun_1_2018-06-25, DE_Bay_Mun_1_2018-09-09, DE_Bay_Mun_1_2019-06-22, DE_Bay_Mun_1_2019-09-02, DE_Bay_Mun_1_2020-06-25, DE_Bay_Mun_1_2020-09-05, DE_Bay_Mun_1_2021-06-25, DE_Bay_Mun_1_2021-09-04",48.18,11.61,Europe,Germany,16,640,16,"2014-06-19,2014-09-03,2015-06-01,2015-09-01,2016-06-25,2016-09-01,2017-06-20,2017-09-03,2018-06-25,2018-09-09,2019-06-22,2019-09-02,2020-06-25,2020-09-05,2021-06-25,2021-09-04","SRR5647744, SRR5647745, SRR8439125, SRR8439124, SRR8494451, SRR8494454, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","DrosEU, DrosEU_3",PoolSeq,2634
"DE_Bay_Wue_1_2021-10-18, DE_Bay_Wue_1_2020-07-18, DE_Bay_Wue_1_2020-09-23, DE_Bay_Wue_1_2021-07-27",49.7793705,9.975111,Europe,Germany,4,160,4,"2021-10-18,2020-07-18,2020-09-23,2021-07-27","nan, nan, nan, nan",DrosEU_3,PoolSeq,457
"DK_Mid_Kar_1_2017-08-08, DK_Mid_Kar_1_2018-06-30, DK_Mid_Kar_1_2018-10-05, DK_Mid_Kar_1_2019-07-09, DK_Mid_Kar_1_2019-10-01, DK_Mid_Kar_1_2020-07-31, DK_Mid_Kar_1_2020-10-31, DK_Mid_Kar_1_2014-09-01, DK_Mid_Kar_1_2014-11-25, DK_Mid_Kar_1_2016-06-08, DK_Mid_Kar_1_2016-09-15, DK_Mid_Kar_1_2016-11-22",55.94512799999999,10.212586,Europe,Denmark,12,474,12,"2017-08-08,2018-06-30,2018-10-05,2019-07-09,2019-10-01,2020-07-31,2020-10-31,2014-09-01,2014-11-25,2016-06-08,2016-09-15,2016-11-22","nan, nan, nan, nan, nan, nan, nan, SRR5647772, SRR5647771, SRR8494440, SRR8494438, SRR8494437","DrosEU_3, DrosEU",PoolSeq,2252
"ES_Bar_Bar_1_2012-07-13, ES_Bar_Bar_1_2012-10-16",41.38,2.17,Europe,Spain,2,84,2,"2012-07-13,2012-10-16","SRR3590549, SRR3590548",DrosRTEC,PoolSeq,95
"ES_Ciu_Tom_1_2016-10-11, ES_Ciu_Tom_1_2017-10-04, ES_Ciu_Tom_1_2018-10-03, ES_Ciu_Tom_1_2020-09-30, ES_Ciu_Tom_1_2015-09-17, ES_Ciu_Tom_1_2015-10-08, ES_Ciu_Tom_1_2016-09-02",39.15781154285715,-3.033524028571429,Europe,Spain,7,280,7,"2016-10-11,2017-10-04,2018-10-03,2020-09-30,2015-09-17,2015-10-08,2016-09-02","SRR8494460, nan, nan, nan, SRR8439137, SRR8439136, SRR8494461","DrosEU, DrosEU_3",PoolSeq,1840
"ES_Gra_Gua_1_2015-09-12, ES_Gra_Pur_1_2016-08-30, ES_Gra_Ben_1_2016-10-08, ES_Gra_Ben_1_2017-10-05",37.346399875,-3.1720022,Europe,Spain,4,160,4,"2015-09-12,2016-08-30,2016-10-08,2017-10-05","SRR8439164, SRR8494462, SRR8494475, nan","DrosEU, DrosEU_3",PoolSeq,754
"ES_Gra_Cor_1_2015-08-08, ES_Gra_Cor_1_2017-07-28",37.66166013029405,-2.79627267302351,Europe,Spain,2,80,2,"2015-08-08,2017-07-28","SRR8439163, nan","DrosEU, DrosEU_3",PoolSeq,720
